时间,刷题数目,平均分,累计用时,评分人,
2019/3/4,8,8.99,3.5,何奥华
2019/3/11，8，8，1.5，何奥华
2019/3/13，7，7，2.0，何奥华
2019/3/14，7，10，2.3，何奥华
2019/3/15，7，9，2.5，何奥华
2019/3/16，8，9.5，3.5，何奥华
2019/3/17,5,10,2.0,何奥华
2019/3/18，8，8.75，何奥华
2019/3/19，7，10，3.5，何奥华
2019/3/20，7，10，3.5，何奥华
2019/3/21，8，9.5，3.0，何奥华
2019/3/22，8，9.5，1.5，何奥华
2019/3/23，8，9，2.5，何奥华
2019/3/24，8，10，2.3，何奥华
2019/3/25，8，9，2.0，何奥华
2019/3/26，8，7.6，1.3，何奥华
2019/3/26，8，10，2.0，何奥华
2019/3/27，8，9.5，2.1，何奥华
2019/3/28，8，10，1.8，何奥华
